"HKU Business School
Master of Finance in Financial
Technology
Teaching Plan 2025-2026",Course Code,Course Title,"Course
Type",Instructor,Class Day & Time,Class Dates,V2-Class Dates,"Cyperport(CP)/
Main Campus(MC)",Class Venue*
,MFIN7035,"Big Data in Finance (Class B)
Prerequisite: MFIN7002 Investment analysis and portfolio management",,,"Monday & Thursday
18:30-21:30","Mar 19, 23, 26, 30,
Apr 2, 9, 13, 16, 20, 23","Mar 19, 23, 26, 30,
Apr 2, 9, 13, 15 (Wed, 18:30-21:30), 20, 23",CP,Room ABC
"Module 5
Mar 19 to May 3, 2026",MFIN7016,"Real Options and Dynamic Corporate Finance (Class A)
(shared class with MFin)",Elective,Prof. Keith K. P. Wong,"Tuesday & Friday
18:30-21:30","Mar 20, 24, 27, 31
Apr 7, 10, 14, 17, 21, 24","Mar 19, 23, 26, 30,
Apr 2, 9, 13, 16, 20, 23",CP,Room D
"Module 5
Mar 19 to May 3, 2026",MFIN7049,"Money, Financial Institutions and Markets (Class A)
Prerequisite: MFIN7002 Investment analysis and portfolio management
(shared class with MFin)",Elective,Prof. Xuewen Liu,"Monday & Thursday
18:30-21:30","Mar 19, 23, 26, 30,
Apr 2, 9, 13, 16, 20, 23","Mar 20, 24, 27, 31
Apr 7, 10, 14, 17, 21, 24",CP,Room H
"Module 5
Mar 19 to May 3, 2026",MFIN7052,"Green Finance and ESG (Class A)
(shared class with MFin, MGM & MWM)",Elective,"Prof. Dragon Yongjun
Tang","Tuesday & Friday
9:30-12:30","Mar 20, 24, 27, 31
Apr 7, 10, 14, 17, 21, 24","Mar 19, 23, 26, 30,
Apr 2, 9, 13, 16, 20, 23",CP,Room H
"Module 6
May 4 to Jun 14, 2026",MFIN7013,"Seminar in Commercial Banking and Real Estate Financing
(shared class with MFin)",Elective,"Prof. Berry Hsu &  Dr.
Maurice K.S. Tse","Tuesday & Friday
9:30-12:30","May 5, 8, 12, 15, 19, 22, 26, 29,
Jun 2, 5","Mar 20, 24, 27, 31
Apr 7, 10, 14, 17, 21, 24",CP,Room H
"Module 6
May 4 to Jun 14, 2026",MFIN7014,"Fund Management and Alternative Investments (Class A)
(shared class with MFin)",Elective,Prof. Fangzhou Lu,"Monday & Thursday
18:30-21:30","May 4, 7, 11, 14, 18, 21, 28
Jun 1, 4, 8","May 5, 8, 12, 15, 19, 22, 26, 29,
Jun 2, 5",CP,Room H
,,"Fund Management and Alternative Investments (Class B)
(shared class with MFin)",,,"Tuesday & Friday
18:30-21:30","May 5, 8, 12, 15, 19, 22, 26, 29,
Jun 2, 5","May 4, 7, 11, 14, 18, 21, 28
Jun 1, 4, 8",CP,Room H
Abbreviation,,,,,,,"May 5, 8, 12, 15, 19, 22, 26, 29,
Jun 2, 5",,
"* Venue:                                                                               CPD = Central Podium, Centennail Campus",,,,,,,,,
,,"KK = K.K. Leung Building, Main campus",,,,,,,
,,"CBC = Chow Yei Ching Building, Main Campus
LE = Library Extension Building, Main Campus
MW= Main Campus, Meng Wah Complex",,,,,,,
,,"CP = Cyberport 4, 100 Cyberport Road, Hong Kong - LT, LTA, LTB, ABC, D, EFG, H, J, 205-1&2
MC = Main campus",,,,,,,
Remarks,,,,,,,,,
- The teaching plan above is tentative and subject to change.,,,,,,,,,
- There may be potential changes to the exact venue where the sessions are held.,,,,,,,,,
8/15/2025,,,,,,,,,
